reynolds,n,mach,t_end,steps,tau,runtime_median_seconds,runtime_min_seconds,runtime_max_seconds,relative_l2,vortex_relative_l2,kinetic_energy_error,mass_relative_drift,divergence_l2
10,16,0.1,0.25,25,0.5194536672593288,0.03280597150023823,0.03269696100051078,0.032914981999965676,0.017741168962198357,0.031787609646513705,0.012780167790775399,2.7755575615628914e-15,0.01627232434681649
10,16,0.05,0.25,50,0.5097268336296644,0.06617444249968685,0.05803009800001746,0.07431878699935623,0.01396138250044066,0.025015204916614627,0.011030361700801072,5.773159728050814e-15,0.0022877386913630576
10,16,0.025,0.25,99,0.5049125422372043,0.12835232199995517,0.12564510999982303,0.1310595340000873,0.01267074218926869,0.022702709584824166,0.009947832744955809,1.099120794378905e-14,0.0005147681372443648
10,32,0.1,0.25,50,0.5389073345186577,0.11388844300017809,0.1035356700003831,0.12424121599997306,0.008586869762461737,0.015385461052548519,0.002882605628669932,5.329070518200751e-15,0.018260464017357113
10,32,0.05,0.25,99,0.519650168948817,0.19566790050021154,0.1871745100006592,0.20416129099976388,0.00394251208198719,0.007063967169012501,0.0029339813430051542,1.0658141036401503e-14,0.003446489734176232
10,32,0.025,0.25,198,0.5098250844744086,0.37679005100017093,0.3734232239994526,0.38015687800088926,0.0038529213330681504,0.006903443600320647,0.0028961555708542086,2.1649348980190553e-14,0.003139631117925181
10,64,0.1,0.25,99,0.5786006757952681,0.5014192665003065,0.47888700300063647,0.5239515299999766,0.008230602832829507,0.014747122388774927,0.0007178005116704744,9.547918011776346e-15,0.019580212506137534
10,64,0.05,0.25,198,0.5393003378976341,1.1767374705000293,1.0344923780003228,1.3189825629997358,0.002010362112876161,0.003602051602597969,0.0007620109816650622,2.042810365310288e-14,0.004244662632681367
10,64,0.025,0.25,395,0.5196999162119786,2.074705869000354,2.050179047000711,2.0992326909999974,0.0016784596550043593,0.003007367802785943,0.0007238332909189626,4.241051954068098e-14,0.0033893731964324543
100,16,0.1,0.25,25,0.5019453667259329,0.0530705369997122,0.04734284799997113,0.05879822599945328,0.02559138700727708,0.044473827802539466,0.020241350601420294,2.886579864025407e-15,0.018584960389715795
