solver,reynolds,n,runtime_median_seconds,relative_l2,steps,memory_bytes
Fourier-vorticity RK4,10,16,0.021090086000185693,3.89251481520151e-09,6,24576
D2Q9 BGK,10,16,0.05901876600000833,0.01396138250044066,50,18432
Fourier-vorticity RK4,10,32,0.045554114999504236,3.4347785196743345e-10,11,98304
D2Q9 BGK,10,32,0.18343779699989682,0.00394251208198719,99,73728
Fourier-vorticity RK4,10,64,0.16344822900009603,2.581148394623616e-11,21,393216
D2Q9 BGK,10,64,1.0835375940005179,0.002010362112876161,198,294912
Fourier-vorticity RK4,100,16,0.01998948799973732,3.619357112363129e-09,6,24576
D2Q9 BGK,100,16,0.06076324700006808,0.011957115743938838,50,18432
Fourier-vorticity RK4,100,32,0.05083223499968881,3.20283002831239e-10,11,98304
D2Q9 BGK,100,32,0.1947969450002347,0.0044216417359721144,99,73728
Fourier-vorticity RK4,100,64,0.15879461900021852,2.410742412276098e-11,21,393216
D2Q9 BGK,100,64,1.0435825380000097,0.0021192730302466672,198,294912
Fourier-vorticity RK4,1000,16,0.01888042599966866,3.624394002854284e-09,6,24576
D2Q9 BGK,1000,16,0.06541332800043165,0.01147171670920328,50,18432
Fourier-vorticity RK4,1000,32,0.05063541399977112,3.2081984125530737e-10,11,98304
D2Q9 BGK,1000,32,0.197444823999831,0.004773835330661068,99,73728
Fourier-vorticity RK4,1000,64,0.16650645499976235,2.4151728253308854e-11,21,393216
D2Q9 BGK,1000,64,1.0303177969999524,0.00205782453079029,198,294912
