reynolds,n,step,time,relative_l2,vortex_relative_l2,kinetic_energy,exact_kinetic_energy,mass_relative_drift,divergence_l2,pressure_relative_l2,momentum_drift,fourier_mode_relative_error,fourier_phase_error_radians,minimum_population,negative_population_count,runtime_seconds,steps,tau,memory_bytes
10,16,395,1.0,0.014371531583122094,0.028684257202114764,0.6590883118532664,0.6675800115089099,4.340972026284362e-14,0.0002339446126445597,0.9951550190016022,6.865995549891086e-09,0.02867457895934389,0.012953655949630605,0.026830703579162785,0,0.47193187500033673,395,0.5049249790529946,18432
10,32,789,0.9999999999999999,0.003820161182079702,0.007624690887434552,0.6654344419507918,0.6675800115089099,8.615330671091215e-14,0.00288841929322632,0.5588619966990303,9.30334698168167e-09,0.007187983735338985,0.0032321875882401763,0.02681365881859014,0,1.6979614040001252,789,0.5098624422100526,73728
10,64,1578,0.9999999999999999,0.001074915486614772,0.0021454325943106073,0.667040522475427,0.6675800115089099,1.688649220454863e-13,0.0013438545310874217,0.9239366531133624,4.4875859694926135e-09,0.0018018299546495105,0.0008064380970482787,0.026811660853059513,0,8.94122850399981,1578,0.5197248844201053,294912
100,16,395,1.0,0.015619499490491719,0.027419325325449415,0.7278437397590656,0.7401973597880809,4.3853809472693683e-14,0.0005024524397862841,0.989432279982893,1.2802466864414476e-08,0.027386055219754867,0.008627243535995088,0.02673598437907208,0,0.49368441099977645,395,0.5004924979052995,18432
100,32,789,0.9999999999999999,0.0044509859893993205,0.007813504711636266,0.7371108437655263,0.7401973597880809,8.770761894538737e-14,0.004157332362749159,0.5585415182289595,1.3604923188026607e-08,0.0071875116791889826,0.0031811817171067958,0.026729275447778172,0,1.5974522239994258,789,0.5009862442210052,73728
100,64,1578,0.9999999999999999,0.0013134354354984773,0.0023056765373198483,0.7394136200410066,0.7401973597880809,1.7474910407599964e-13,0.001950236037224336,0.923665734610833,6.578705580295841e-09,0.001822434270683639,0.0008081632408321049,0.026727096236026433,0,8.679253692999737,1578,0.5019724884420105,294912
400,16,395,1.0,0.015450455860560198,0.02685047563924136,0.7346566949271501,0.7475124584372921,4.39648317751562e-14,0.0006342219105511431,0.986439758277204,1.3174183299825907e-08,0.02679769907615752,0.005362210041972571,0.026717363852905882,0,0.4726627850004661,395,0.5001231244763249,18432
400,32,789,0.9999999999999999,0.004420835250578733,0.007682720191044248,0.7443144465005287,0.7475124584372921,8.770761894538737e-14,0.004289246700615168,0.5587717752369197,1.3341822868717683e-08,0.00701993835225372,0.0026988964054943665,0.026719337494770526,0,1.5561659320001127,789,0.5002465610552513,73728
400,64,1578,0.9999999999999999,0.0013368241688505337,0.002323191309280171,0.746704209192564,0.7475124584372921,1.751931932858497e-13,0.0020113910212332764,0.9236600927807564,6.813095088099672e-09,0.001827030296783464,0.0008157626717855138,0.02671947128222056,0,8.660778643000413,1578,0.5004931221105027,294912
1000,16,395,1.0,0.015428219827171696,0.026758138096762505,0.736034823141193,0.7490019973359978,4.39648317751562e-14,0.0006718830056135691,0.9856327068991715,1.3235876394903162e-08,0.026699797936671398,0.004458931336184246,0.026712745146583637,0,0.4851475669993306,395,0.5000492497905299,18432
1000,32,789,0.9999999999999999,0.004383896442398242,0.007603269056421164,0.7457736736739264,0.7490019973359978,8.759659664292485e-14,0.004318341299140652,0.558882516027795,1.2957150241632768e-08,0.006925662643427713,0.002384238123439353,0.02671631988598336,0,1.5440503589998116,789,0.5000986244221005,73728
1000,64,1578,0.9999999999999999,0.0013486611060431017,0.0023390683128378374,0.7481900764343556,0.7490019973359978,1.7497114868092467e-13,0.0020231512629432066,0.9236630458713508,6.9873014041380174e-09,0.0018443254662399693,0.0008580855773545616,0.02671858977888975,0,9.285966800999631,1578,0.500197248844201,294912
2000,16,395,1.0,0.015423442969354929,0.026732008185394347,0.7364952180553128,0.7495004996668333,4.3853809472693683e-14,0.0006855247838384876,0.9853444034505625,1.3255461395189733e-08,0.026671659337586858,0.004134568522247584,0.02671112226512251,0,0.5276904330003163,395,0.500024624895265,18432
2000,32,789,0.9999999999999999,0.004368197012034317,0.007570986485516232,0.7462607567453701,0.7495004996668333,8.748557434046234e-14,0.004328506215948943,0.5589297000692703,1.277180583514375e-08,0.0068874211539147545,0.002242604070422871,0.026715141182662987,0,1.6856902700001228,789,0.5000493122110503,73728
2000,64,1578,0.9999999999999999,0.0013580895639942485,0.002353849358624192,0.7486882946543661,0.7495004996668333,1.751931932858497e-13,0.0020266401928713262,0.9236657426231266,7.136301549692967e-09,0.0018625666338807007,0.0009012404421371301,0.02671872885189555,0,9.693284621999737,1578,0.5000986244221005,294912
5000,16,395,1.0,0.015421369502829244,0.02671772022633383,0.7367716908807663,0.7498000799786709,4.363176486776865e-14,0.0006939882777128053,0.9851665370638534,1.3266969967063274e-08,0.02665612730011585,0.003934038082240576,0.02671012735591691,0,0.531784787000106,395,0.5000098499581059,18432
5000,32,789,0.9999999999999999,0.004358064454983026,0.0075504024992854605,0.7465530910903633,0.749800079978671,8.748557434046234e-14,0.004334751932459519,0.5589611163077925,1.2643272873091863e-08,0.0068630012591390874,0.0021465315591373546,0.026714381793237568,0,1.51912082599938,789,0.5000197248844201,73728
5000,64,1578,0.9999999999999999,0.0013671322346843007,0.0023685741108788313,0.7489882338818374,0.7498000799786709,1.751931932858497e-13,0.002028515446867003,0.9236682323605176,7.2767627479209875e-09,0.0018811184276732223,0.0009433669146852175,0.026718400583974105,0,8.728153966000718,1578,0.5000394497688402,294912
