n,topology,logical_qubits,high_level_depth,high_level_size,native_depth,native_size,cx,u,clifford_t_proxy,compile_seconds,unused_direction_states
4,all_to_all,8,29,58,1416,1791,790,1001,110110,0.11364152199985256,7
4,ring,8,29,58,2615,3324,2323,1001,110110,0.15720461700038868,7
4,line,8,29,58,2948,3789,2788,1001,110110,0.23671032699985517,7
8,all_to_all,10,29,58,11102,15994,7376,8618,947980,0.8482920479991662,7
8,ring,10,29,58,21814,29842,21224,8618,947980,1.2177607589992476,7
8,line,10,29,58,23102,31711,23093,8618,947980,1.5798023600000306,7
16,all_to_all,12,29,58,30970,46388,21434,24954,2744940,2.082047873999727,7
16,ring,12,29,58,66248,92528,67574,24954,2744940,3.625153746000251,7
16,line,12,29,58,68341,96089,71135,24954,2744940,3.731682746999468,7
32,all_to_all,14,29,58,96996,143549,66366,77183,8490130,6.751508858000307,7
32,ring,14,29,58,215165,296753,219570,77183,8490130,11.996034005000183,7
32,line,14,29,58,206183,285401,208218,77183,8490130,10.846585211000274,7
64,all_to_all,16,29,58,228752,340520,157428,183092,20140120,18.609796186000494,7
64,ring,16,29,58,506706,702537,519445,183092,20140120,27.683465502999752,7
64,line,16,29,58,499186,692615,509523,183092,20140120,26.504051270999298,7
128,all_to_all,18,29,58,441737,662398,306342,356056,39166160,31.030811601000096,7
128,ring,18,29,58,987743,1377404,1021348,356056,39166160,56.64446975299961,7
128,line,18,29,58,980774,1368157,1012101,356056,39166160,58.20017290499982,7
